,cooling_factor,initial_temperature,final_objective,stop_motive,optimization_status,solution_time
0,0.999999,400000.0,2974,n_max,infeasible,0.17898297309875488
1,0.999999,900000.0,3102,n_max,infeasible,0.45526981353759766
2,0.999999,1600000.0,3073,n_max,infeasible,0.8297364711761475
3,0.999999,2500000.0,3134,n_max,infeasible,1.1829278469085693
4,0.999999,3600000.0,3051,n_max,infeasible,1.9627182483673096
5,0.999999,4900000.0,3110,n_max,infeasible,2.1307718753814697
6,0.999999,6400000.0,3256,n_max,infeasible,2.813854455947876
7,0.999999,8100000.0,2749,n_max,infeasible,3.495008707046509
8,0.999999,10000000.0,3188,n_max,infeasible,4.368951797485352
9,0.999999,12100000.0,3117,n_max,infeasible,5.359590291976929
10,0.999999,14400000.0,2869,n_max,infeasible,6.277470588684082
11,0.999999,16900000.0,2975,n_max,infeasible,7.400783061981201
12,0.999999,19600000.0,3048,n_max,infeasible,8.59540605545044
13,0.999999,22500000.0,2859,n_max,infeasible,9.864001035690308
14,0.999999,25600000.0,3095,n_max,infeasible,11.26454496383667
15,0.999999,28900000.0,3042,n_max,infeasible,12.731913805007935
16,0.999999,32400000.0,3169,n_max,infeasible,14.231059312820435
17,0.999999,36100000.0,3190,n_max,infeasible,15.960098028182983
18,0.999999,40000000.0,2937,n_max,infeasible,17.61299705505371
19,0.999999,44100000.0,2968,n_max,infeasible,19.345242261886597
20,0.999999,48400000.0,2985,n_max,infeasible,21.286497116088867
21,0.999999,52900000.0,2992,n_max,infeasible,23.104633808135986
22,0.999999,57600000.0,3257,n_max,infeasible,25.331788063049316
23,0.999999,62500000.0,3071,n_max,infeasible,27.48719573020935
24,0.999999,67600000.0,3248,n_max,infeasible,29.66395378112793
25,0.999999,72900000.0,3253,n_max,infeasible,32.15242791175842
26,0.999999,78400000.0,3131,n_max,infeasible,34.00735354423523
27,0.999999,84100000.0,3273,n_max,infeasible,36.955965518951416
28,0.999999,90000000.0,2630,n_max,infeasible,39.482017517089844
29,0.999999,96100000.0,3080,n_max,infeasible,42.306955337524414
30,0.999999,102400000.0,3114,n_max,infeasible,44.882761001586914
31,0.999999,108900000.0,3187,n_max,infeasible,47.757097482681274
32,0.999999,115600000.0,3641,n_max,infeasible,50.69597554206848
33,0.999999,122500000.0,2919,n_max,infeasible,53.72584295272827
34,0.999999,129600000.0,2619,n_max,infeasible,56.70321226119995
35,0.999999,136900000.0,3108,n_max,infeasible,59.71629238128662
36,0.999999,144400000.0,2858,n_max,infeasible,63.29864025115967
37,0.999999,152100000.0,2932,n_max,infeasible,66.92041516304016
38,0.999999,160000000.0,3302,n_max,infeasible,71.34846019744873
39,0.999999,168100000.0,2704,n_max,infeasible,74.02962636947632
40,0.999999,176400000.0,2884,n_max,infeasible,78.15202283859253
41,0.999999,184900000.0,3167,n_max,infeasible,81.66089797019958
42,0.999999,193600000.0,3337,n_max,infeasible,84.31530117988586
43,0.999999,202500000.0,3064,n_max,infeasible,88.81287479400635
44,0.999999,211600000.0,3044,n_max,infeasible,92.3182361125946
45,0.999999,220900000.0,3260,n_max,infeasible,96.74408745765686
46,0.999999,230400000.0,2929,n_max,infeasible,101.0685338973999
47,0.999999,240100000.0,2971,n_max,infeasible,105.75449919700623
48,0.999999,250000000.0,3321,n_max,infeasible,110.34623003005981
49,0.999999,260100000.0,3176,n_max,infeasible,115.04367136955261
50,0.999999,270400000.0,3182,n_max,infeasible,120.27127575874329
51,0.999999,280900000.0,3259,n_max,infeasible,124.10546565055847
52,0.999999,291600000.0,3170,n_max,infeasible,128.65397882461548
53,0.999999,302500000.0,2946,n_max,infeasible,133.53900384902954
54,0.999999,313600000.0,3085,n_max,infeasible,139.46304178237915
55,0.999999,324900000.0,3173,n_max,infeasible,144.136958360672
56,0.999999,336400000.0,3235,n_max,infeasible,148.98754334449768
57,0.999999,348100000.0,2841,n_max,infeasible,154.07054090499878
