,cooling_factor,initial_temperature,final_objective,stop_motive,optimization_status,solution_time
0,0.999,400000.0,3326,n_max,infeasible,0.23305463790893555
1,0.999,900000.0,2637,n_max,infeasible,0.4629971981048584
2,0.999,1600000.0,1215,n_max,infeasible,0.8177142143249512
3,0.999,2500000.0,1210,n_max,infeasible,1.2681951522827148
4,0.999,3600000.0,1236,n_max,infeasible,1.9622700214385986
5,0.999,4900000.0,2887,n_max,infeasible,2.2371809482574463
6,0.999,6400000.0,1238,n_max,infeasible,2.8589069843292236
7,0.999,8100000.0,1219,n_max,infeasible,3.6422626972198486
8,0.999,10000000.0,1843,n_max,infeasible,4.467197418212891
9,0.999,12100000.0,1168,n_max,infeasible,5.393481492996216
10,0.999,14400000.0,2639,n_max,infeasible,6.393500328063965
11,0.999,16900000.0,1252,n_max,infeasible,7.576090097427368
12,0.999,19600000.0,1293,n_max,infeasible,8.744973182678223
13,0.999,22500000.0,3210,n_max,infeasible,10.168691873550415
14,0.999,25600000.0,1232,n_max,infeasible,11.43101954460144
15,0.999,28900000.0,1244,n_max,infeasible,12.987265825271606
16,0.999,32400000.0,3156,n_max,infeasible,14.609955310821533
17,0.999,36100000.0,2953,n_max,infeasible,16.22312903404236
18,0.999,40000000.0,1195,n_max,infeasible,17.953308820724487
19,0.999,44100000.0,1209,n_max,infeasible,19.72184443473816
20,0.999,48400000.0,1205,n_max,infeasible,21.660255670547485
21,0.999,52900000.0,1253,n_max,infeasible,23.609334468841553
22,0.999,57600000.0,1227,n_max,infeasible,25.782576084136963
23,0.999,62500000.0,1221,n_max,infeasible,27.73871612548828
24,0.999,67600000.0,1206,n_max,infeasible,30.40885353088379
25,0.999,72900000.0,1238,n_max,infeasible,32.741825103759766
26,0.999,78400000.0,3261,n_max,infeasible,35.175883293151855
27,0.999,84100000.0,1513,n_max,infeasible,38.118181467056274
28,0.999,90000000.0,1199,n_max,infeasible,40.76216650009155
29,0.999,96100000.0,1225,n_max,infeasible,43.0915641784668
30,0.999,102400000.0,2943,n_max,infeasible,45.65484070777893
31,0.999,108900000.0,1225,n_max,infeasible,48.6321165561676
32,0.999,115600000.0,2951,n_max,infeasible,51.68806338310242
33,0.999,122500000.0,1241,n_max,infeasible,54.64058208465576
34,0.999,129600000.0,1235,n_max,infeasible,57.527342557907104
35,0.999,136900000.0,1285,n_max,infeasible,60.65298938751221
36,0.999,144400000.0,2963,n_max,infeasible,63.78081774711609
37,0.999,152100000.0,1206,n_max,infeasible,68.56792688369751
38,0.999,160000000.0,1295,n_max,infeasible,70.61217617988586
39,0.999,168100000.0,2764,n_max,infeasible,74.38396263122559
40,0.999,176400000.0,1207,n_max,infeasible,78.46853733062744
41,0.999,184900000.0,1235,n_max,infeasible,82.17562627792358
42,0.999,193600000.0,1242,n_max,infeasible,86.16503691673279
43,0.999,202500000.0,2124,n_max,infeasible,90.64137506484985
44,0.999,211600000.0,2950,n_max,infeasible,94.38762259483337
45,0.999,220900000.0,2895,n_max,infeasible,98.11636257171631
46,0.999,230400000.0,2946,n_max,infeasible,102.41383361816406
47,0.999,240100000.0,3076,n_max,infeasible,106.65439701080322
48,0.999,250000000.0,2938,n_max,infeasible,110.79572248458862
49,0.999,260100000.0,1570,n_max,infeasible,115.94438290596008
